Date,Open,High,Low,Close,Adj Close,Volume
2013-10-28,2135.878906,2140.957031,2123.069092,2133.868896,2133.868896,88400
2013-10-29,2135.226074,2163.656982,2093.197021,2128.864014,2128.864014,143100
2013-10-30,2126.689941,2161.935059,2121.841064,2160.462891,2160.462891,119600
2013-10-31,2155.510986,2155.510986,2137.466064,2141.614014,2141.614014,108100
2013-11-01,2139.879883,2157.312988,2132.628906,2149.562012,2149.562012,89100
2013-11-04,2156.086914,2160.577881,2143.207031,2149.634033,2149.634033,76100
2013-11-05,2139.836914,2158.147949,2124.844971,2157.239990,2157.239990,91900
2013-11-06,2149.389893,2166.170898,2138.780029,2139.606934,2139.606934,100500
2013-11-07,2136.626953,2141.600098,2119.186035,2129.399902,2129.399902,81800
2013-11-08,2120.923096,2128.581055,2103.510010,2106.126953,2106.126953,83100
2013-11-11,2103.299072,2117.280029,2093.625977,2109.470947,2109.470947,69700
2013-11-12,2110.724121,2127.937988,2108.395996,2126.771973,2126.771973,79400
2013-11-13,2117.885986,2117.912109,2086.006104,2087.940918,2087.940918,88300
2013-11-14,2087.118896,2102.379883,2078.988037,2100.506104,2100.506104,83800
2013-11-15,2100.899902,2153.212891,2100.785889,2135.826904,2135.826904,125900
2013-11-18,2147.373047,2198.315918,2143.768066,2197.218994,2197.218994,157500
2013-11-19,2198.318115,2203.295898,2186.114014,2193.125000,2193.125000,125000
2013-11-20,2201.474121,2207.104980,2186.642090,2206.613037,2206.613037,119000
2013-11-21,2197.008057,2206.531006,2177.735107,2205.766113,2205.766113,137200
2013-11-22,2206.469971,2211.065918,2188.767090,2196.377930,2196.377930,113800
2013-11-25,2186.058105,2209.147949,2181.417969,2186.114990,2186.114990,108300
2013-11-26,2184.332031,2192.579102,2176.177002,2183.072998,2183.072998,100500
2013-11-27,2181.725098,2207.616943,2176.846924,2201.070068,2201.070068,115400
2013-11-28,2204.377930,2234.386963,2202.623047,2219.372070,2219.372070,134500
2013-11-29,2221.617920,2224.944092,2212.262939,2220.503906,2220.503906,107000
2013-12-02,2203.122070,2231.920898,2172.633057,2207.371094,2207.371094,174300
2013-12-03,2196.823975,2227.925049,2193.250977,2222.669922,2222.669922,113500
2013-12-04,2219.965088,2260.871094,2215.916016,2251.761963,2251.761963,157300
2013-12-05,2252.722900,2255.260986,2239.144043,2247.062988,2247.062988,122000
2013-12-06,2242.562988,2248.146973,2228.632080,2237.107910,2237.107910,103700
2013-12-09,2241.792969,2249.168945,2231.733887,2238.199951,2238.199951,93300
2013-12-10,2239.864014,2250.503906,2231.679932,2237.491943,2237.491943,109000
2013-12-11,2228.633057,2228.633057,2193.159912,2204.166016,2204.166016,109400
2013-12-12,2199.316895,2214.548096,2194.900879,2202.795898,2202.795898,86100
2013-12-13,2188.259033,2204.636963,2183.842041,2196.074951,2196.074951,85100
2013-12-16,2197.233887,2201.696045,2159.987061,2160.861084,2160.861084,101400
2013-12-17,2161.535889,2165.542969,2146.313965,2151.079102,2151.079102,78600
2013-12-18,2150.412109,2156.593018,2142.624023,2148.284912,2148.284912,64200
2013-12-19,2153.674072,2159.142090,2126.246094,2127.791992,2127.791992,73100
2013-12-20,2128.374023,2131.737061,2082.854980,2084.793945,2084.793945,86800
2013-12-23,2089.539063,2099.521973,2068.542969,2089.707031,2089.707031,68100
2013-12-24,2094.072998,2111.804932,2079.810059,2092.905029,2092.905029,70300
2013-12-25,2095.019043,2107.231934,2088.297119,2106.354004,2106.354004,65200
2013-12-26,2102.659912,2102.659912,2070.545898,2073.099121,2073.099121,78500
2013-12-27,2074.592041,2110.356934,2069.590088,2101.250977,2101.250977,76800
2013-12-30,2108.883057,2112.009033,2095.062988,2097.529053,2097.529053,74100
2013-12-31,2090.678955,2120.273926,2087.415039,2115.978027,2115.978027,80500
2014-01-02,2112.125977,2113.110107,2101.016113,2109.386963,2109.386963,68500
2014-01-03,2101.541992,2102.166992,2075.898926,2083.135010,2083.135010,84500
2014-01-06,2078.684082,2078.684082,2034.005981,2045.708984,2045.708984,89600
2014-01-07,2034.223999,2052.279053,2029.245972,2047.317017,2047.317017,63400
2014-01-08,2047.255981,2062.951904,2037.109985,2044.339966,2044.339966,71600
2014-01-09,2041.772949,2057.196045,2026.446045,2027.621948,2027.621948,75900
2014-01-10,2023.535034,2029.296997,2008.006958,2013.297974,2013.297974,75600
2014-01-13,2014.978027,2027.181030,2000.404053,2009.563965,2009.563965,66500
2014-01-14,2007.156006,2027.427979,2001.135010,2026.842041,2026.842041,70400
2014-01-15,2024.228027,2027.409058,2010.203979,2023.348022,2023.348022,67400
2014-01-16,2022.537964,2034.707031,2014.406982,2023.701050,2023.701050,72800
2014-01-17,2017.521973,2017.868042,2001.329956,2004.948975,2004.948975,67300
2014-01-20,2001.894043,2005.937988,1984.823975,1991.253052,1991.253052,56300
2014-01-21,1992.015015,2014.151978,1992.015015,2008.312988,2008.312988,59800
2014-01-22,2009.968994,2052.339111,2008.930054,2051.749023,2051.749023,98900
2014-01-23,2048.331055,2052.528076,2039.052002,2042.180054,2042.180054,84200
2014-01-24,2037.666992,2060.986084,2034.453003,2054.392090,2054.392090,92900
2014-01-27,2044.271973,2044.845947,2029.625977,2033.300049,2033.300049,88800
2014-01-28,2036.401978,2047.129028,2026.987061,2038.512939,2038.512939,72500
2014-01-29,2042.176025,2051.583008,2039.770996,2049.914063,2049.914063,73900
2014-01-30,2045.931030,2045.931030,2031.465942,2033.083008,2033.083008,62600
2014-02-07,2022.322998,2044.729980,2014.697998,2044.496948,2044.496948,73600
2014-02-10,2049.983887,2087.975098,2049.983887,2086.066895,2086.066895,124300
2014-02-11,2086.177002,2111.061035,2082.520996,2103.670898,2103.670898,142200
2014-02-12,2103.827881,2110.904053,2096.509033,2109.955078,2109.955078,126300
2014-02-13,2106.934082,2122.825928,2096.966064,2098.400879,2098.400879,146500
2014-02-14,2097.320068,2116.186035,2095.090088,2115.847900,2115.847900,111500
2014-02-17,2124.879883,2136.447021,2117.688965,2135.415039,2135.415039,140200
2014-02-18,2134.143066,2134.143066,2113.127930,2119.065918,2119.065918,142900
2014-02-19,2116.918945,2152.960938,2111.167969,2142.553955,2142.553955,151300
2014-02-20,2152.891113,2177.978027,2136.480957,2138.781982,2138.781982,157100
2014-02-21,2131.592041,2132.702881,2098.327881,2113.693115,2113.693115,117700
2014-02-24,2099.717041,2099.717041,2058.791016,2076.686035,2076.686035,123600
2014-02-25,2077.284912,2087.615967,2026.542969,2034.218994,2034.218994,140100
2014-02-26,2026.609985,2041.626953,2014.380981,2041.254028,2041.254028,110100
2014-02-27,2045.095947,2068.313965,2036.390991,2047.354004,2047.354004,132200
2014-02-28,2040.624023,2058.489014,2020.935059,2056.302002,2056.302002,111600
2014-03-03,2052.074951,2078.333008,2047.067017,2075.235107,2075.235107,127500
2014-03-04,2068.106934,2074.024902,2050.125000,2071.472900,2071.472900,115900
2014-03-05,2073.294922,2074.814941,2050.175049,2053.083984,2053.083984,107700
2014-03-06,2050.031982,2065.790039,2030.946045,2059.577881,2059.577881,109300
2014-03-07,2058.375000,2079.489990,2050.469971,2057.907959,2057.907959,103700
2014-03-10,2042.352051,2042.634033,1995.548950,1999.064941,1999.064941,115700
2014-03-11,1994.415039,2008.071045,1985.598999,2001.156982,2001.156982,92700
2014-03-12,1996.239014,2011.060059,1974.381958,1997.692017,1997.692017,101400
2014-03-13,2000.694946,2029.119995,1996.529053,2019.110962,2019.110962,101000
2014-03-14,2008.824951,2017.912964,1990.979980,2004.338989,2004.338989,87800
2014-03-17,2009.881958,2024.371948,1999.249023,2023.672974,2023.672974,86300
2014-03-18,2026.223999,2034.916992,2020.410034,2025.196045,2025.196045,96800
2014-03-19,2019.979980,2022.181030,2002.441040,2021.734009,2021.734009,95200
2014-03-20,2017.219971,2030.847046,1993.001953,1993.479004,1993.479004,110300
2014-03-21,1987.678955,2052.471924,1986.071045,2047.619019,2047.619019,144500
2014-03-24,2050.826904,2074.055908,2043.329956,2066.279053,2066.279053,147700
2014-03-25,2063.322998,2079.551025,2057.490967,2067.311035,2067.311035,131800
2014-03-26,2070.573975,2074.572021,2057.647949,2063.669922,2063.669922,102600
2014-03-27,2060.812012,2073.980957,2042.713013,2046.588013,2046.588013,119100
2014-03-28,2046.850952,2060.134033,2035.243042,2041.712036,2041.712036,121700
2014-03-31,2043.045044,2048.134033,2024.185059,2033.306030,2033.306030,94400
2014-04-01,2031.005005,2050.680908,2028.095947,2047.459961,2047.459961,83300
2014-04-02,2049.423096,2060.778076,2046.741943,2058.988037,2058.988037,102700
2014-04-03,2063.497070,2066.007080,2037.447021,2043.702026,2043.702026,108600
2014-04-04,2037.552002,2060.104004,2035.220947,2058.831055,2058.831055,83200
2014-04-08,2054.530029,2102.451904,2052.899902,2098.283936,2098.283936,133400
2014-04-09,2100.650879,2108.750000,2095.639893,2105.237061,2105.237061,105300
2014-04-10,2105.875977,2146.669922,2098.079102,2134.300049,2134.300049,156800
2014-04-11,2130.367920,2138.650879,2120.178955,2130.541992,2130.541992,131800
2014-04-14,2127.408936,2134.434082,2116.610107,2131.539063,2131.539063,102100
2014-04-15,2125.902100,2125.902100,2098.149902,2101.601074,2101.601074,107500
2014-04-16,2097.212891,2112.050049,2092.156982,2105.122070,2105.122070,89400
2014-04-17,2108.947021,2110.716064,2095.714111,2098.885010,2098.885010,89900
2014-04-18,2091.479980,2099.636963,2081.185059,2097.748047,2097.748047,88200
2014-04-21,2085.979980,2103.077881,2065.233887,2065.825928,2065.825928,96400
2014-04-22,2062.787109,2073.663086,2047.332031,2072.831055,2072.831055,98700
2014-04-23,2068.083984,2076.349121,2059.108887,2067.382080,2067.382080,78500
2014-04-24,2064.156006,2075.757080,2056.193115,2057.032959,2057.032959,78200
2014-04-25,2060.538086,2065.643066,2035.566040,2036.519043,2036.519043,93000
